시도_코드,시도,기존14,기존16,기존19,기존20,신규01,신규02,이상값
11,서울특별시,0.08,0.25,1.09,0.88,0.09,0.19,0.7
26,부산광역시,0.09,1.77,1.17,1.06,0.17,0.47,0.43
27,대구광역시,0.15,2.95,1.31,1.59,0.31,0.64,0.33
28,인천광역시,0.1,2.25,0.8,1.0,0.24,0.45,0.26
29,광주광역시,0.08,1.59,4.14,2.65,0.51,1.0,0.19
30,대전광역시,0.09,2.21,1.25,1.58,0.21,0.36,0.2
31,울산광역시,0.07,5.42,2.92,3.11,0.38,0.86,0.21
36,세종특별자치시,0.3,6.58,0.42,0.56,0.68,1.21,0.07
41,경기도,0.1,3.33,1.13,1.07,0.31,0.82,0.29
51,강원특별자치도,0.07,5.69,0.85,1.04,0.18,0.72,0.24
43,충청북도,0.11,6.98,0.88,0.9,0.28,0.91,0.19
44,충청남도,0.1,7.52,0.52,0.54,0.34,0.9,0.24
52,전북특별자치도,0.22,8.12,0.78,0.74,0.26,1.33,0.34
46,전라남도,0.29,4.36,1.36,1.18,0.27,0.94,0.35
47,경상북도,0.15,8.92,1.31,1.35,0.27,1.17,0.31
48,경상남도,0.13,5.7,0.74,0.69,0.23,1.15,0.25
50,제주특별자치도,0.12,10.34,2.88,2.62,0.28,1.0,0.24
