주_용도_코드,주_용도_코드_명,기존14,기존16,기존19,기존20,신규01,신규02,이상값
01000,단독주택,0.11,5.91,0.99,0.87,0.23,0.48,0.31
02000,공동주택,0.25,0.85,3.12,3.46,0.29,0.39,0.38
03000,제1종근린생활시설,0.24,4.27,1.08,1.08,0.29,0.7,0.33
04000,제2종근린생활시설,0.12,3.77,0.96,1.0,0.31,0.82,0.35
05000,문화및집회시설,0.12,7.99,0.85,0.75,0.3,0.94,0.3
06000,종교시설,0.13,5.02,1.38,1.48,0.52,1.32,0.31
07000,판매시설,0.34,3.9,1.11,1.21,0.26,0.94,0.42
08000,운수시설,0.15,13.34,1.22,0.87,0.44,1.1,0.29
09000,의료시설,0.17,1.25,0.73,1.0,0.3,0.9,0.36
10000,교육연구시설,0.17,4.31,0.95,1.01,0.39,1.39,0.32
11000,노유자시설,0.1,11.7,1.24,1.19,0.39,0.98,0.28
12000,수련시설,0.1,8.75,0.36,0.33,0.28,0.97,0.13
13000,운동시설,0.13,10.56,0.69,0.76,0.34,1.18,0.38
14000,업무시설,0.15,0.86,1.06,1.31,0.19,0.59,0.56
15000,숙박시설,0.14,4.0,0.9,1.31,0.4,0.59,0.3
16000,위락시설,0.42,2.4,1.02,1.12,0.49,1.36,0.34
17000,공장,0.1,5.34,1.18,1.11,0.41,2.97,0.28
18000,창고시설,0.1,3.66,1.19,1.15,0.2,0.62,0.3
19000,위험물저장및처리시설,0.06,8.09,1.32,1.35,0.42,1.71,0.32
20000,자동차관련시설,0.09,6.11,1.18,1.1,0.36,1.21,0.33
21000,동물및식물관련시설,0.12,4.58,1.1,1.03,0.26,3.87,0.28
22000,분뇨.쓰레기처리시설,0.05,6.47,1.12,1.07,0.24,1.52,0.22
23000,교정및군사시설,0.02,11.41,0.24,0.19,0.08,1.03,0.32
24000,방송통신시설,0.1,4.44,1.81,1.75,0.29,0.29,0.32
25000,발전시설,0.0,8.47,0.16,0.33,0.16,0.79,0.37
26000,묘지관련시설,0.13,9.52,1.12,1.26,0.07,0.66,0.26
27000,관광휴게시설,0.13,13.3,0.58,0.49,0.2,1.03,0.37
28000,가설건축물,0.0,6.67,0.0,0.0,0.0,0.0,0.0
29000,장례시설,0.0,6.18,0.48,0.71,0.48,0.48,0.0
30000,자원순환관련시설,0.03,6.64,0.45,0.46,0.15,2.72,0.36
31000,야영장시설,0.02,6.68,0.22,0.32,0.07,0.41,0.3
32000,교정시설,0.0,16.0,0.0,0.0,0.0,0.0,0.0
33000,"국방,군사시설",0.0,17.13,0.02,0.02,0.06,0.58,0.22
