사용승인_년,기존14,기존16,기존19,기존20,신규01,신규02,이상값
1950,0.29,0.44,0.58,0.5,0.19,0.19,0.29
1951,0.43,0.36,0.49,0.4,0.14,0.2,0.25
1952,0.28,0.33,0.58,0.52,0.16,0.12,0.37
1953,0.31,0.33,0.53,0.46,0.14,0.13,0.33
1954,0.24,0.3,0.45,0.4,0.14,0.15,0.33
1955,0.21,0.43,0.61,0.51,0.17,0.17,0.31
1956,0.22,0.44,0.62,0.57,0.17,0.16,0.29
1957,0.22,0.42,0.54,0.51,0.18,0.16,0.35
1958,0.23,0.38,0.76,0.66,0.18,0.16,0.37
1959,0.2,0.4,0.74,0.69,0.17,0.21,0.27
1960,0.25,0.47,1.0,0.87,0.13,0.21,0.27
1961,0.19,0.4,0.78,0.73,0.17,0.18,0.28
1962,0.16,0.39,0.47,0.45,0.24,0.09,0.35
1963,0.35,0.36,0.51,0.42,0.18,0.23,0.35
1964,0.34,0.36,0.58,0.54,0.17,0.25,0.19
1965,0.28,0.54,0.55,0.46,0.24,0.18,0.27
1966,0.26,0.45,0.44,0.41,0.16,0.26,0.35
1967,0.29,0.54,0.37,0.33,0.25,0.27,0.37
1968,0.3,0.5,0.47,0.4,0.25,0.24,0.33
1969,0.28,0.36,0.56,0.43,0.19,0.37,0.33
1970,0.28,0.54,0.61,0.53,0.21,0.31,0.34
1971,0.21,0.42,0.51,0.46,0.17,0.35,0.36
1972,0.32,0.5,0.61,0.54,0.19,0.34,0.38
1973,0.19,0.4,0.49,0.46,0.22,0.34,0.34
1974,0.16,0.4,0.61,0.46,0.21,0.34,0.36
1975,0.16,0.4,0.57,0.47,0.21,0.35,0.31
1976,0.17,0.49,0.49,0.47,0.24,0.35,0.35
1977,0.18,0.43,0.63,0.53,0.22,0.33,0.33
1978,0.16,0.45,0.55,0.47,0.25,0.35,0.32
1979,0.19,0.49,0.61,0.56,0.26,0.38,0.32
1980,0.2,0.45,0.61,0.58,0.25,0.5,0.27
1981,0.25,0.52,0.66,0.59,0.27,0.55,0.31
1982,0.17,0.51,0.68,0.68,0.21,0.48,0.28
1983,0.16,0.48,0.72,0.74,0.2,0.41,0.34
1984,0.18,0.68,0.92,0.96,0.3,0.45,0.34
1985,0.11,0.53,0.6,0.6,0.21,0.28,0.33
1986,0.14,0.84,0.98,0.91,0.24,0.45,0.38
1987,0.11,0.86,1.05,0.98,0.23,0.42,0.32
1988,0.11,0.81,1.21,1.11,0.2,0.4,0.35
1989,0.15,0.71,1.22,1.19,0.16,0.44,0.35
1990,0.12,0.79,1.17,1.16,0.2,0.42,0.33
1991,0.13,0.91,1.44,1.38,0.2,0.47,0.35
1992,0.23,2.82,3.08,2.96,0.36,0.75,0.34
1993,0.26,4.73,4.72,4.72,0.57,1.12,0.34
1994,0.34,5.61,5.04,5.09,0.65,1.38,0.35
1995,0.28,6.48,5.05,4.84,0.58,1.48,0.32
1996,0.22,7.15,4.89,4.93,0.51,1.44,0.34
1997,0.21,8.67,4.76,5.12,0.43,1.24,0.32
1998,0.19,9.81,2.89,2.81,0.5,1.07,0.32
1999,0.14,10.56,2.22,2.11,0.41,1.02,0.29
2000,0.12,9.73,2.07,1.71,0.42,1.02,0.32
2001,0.13,8.28,1.59,1.28,0.34,0.97,0.32
2002,0.08,6.88,1.26,0.94,0.37,0.9,0.33
2003,0.06,7.83,1.0,0.68,0.37,1.02,0.35
2004,0.02,9.1,0.8,0.58,0.4,1.21,0.35
2005,0.01,9.97,0.67,0.39,0.31,1.55,0.28
2006,0.03,10.35,0.59,0.38,0.31,1.6,0.32
2007,0.03,10.19,0.66,0.44,0.39,1.48,0.31
2008,0.01,9.9,0.39,0.29,0.38,1.3,0.29
2009,0.01,10.72,0.23,0.2,0.21,1.21,0.32
2010,0.03,9.64,0.14,0.19,0.16,1.51,0.31
2011,0.03,9.41,0.09,0.19,0.19,1.33,0.32
2012,0.03,9.17,0.12,0.18,0.18,1.09,0.32
2013,0.02,9.58,0.14,0.19,0.23,1.05,0.28
2014,0.02,8.92,0.12,0.2,0.18,0.96,0.34
2015,0.03,8.67,0.13,0.18,0.17,1.03,0.33
2016,0.03,7.98,0.13,0.17,0.17,1.05,0.3
2017,0.02,7.91,0.13,0.2,0.16,1.12,0.3
2018,0.02,7.69,0.11,0.17,0.13,1.4,0.29
2019,0.02,7.93,0.1,0.12,0.09,1.6,0.32
2020,0.02,8.42,0.11,0.12,0.06,1.77,0.33
2021,0.02,8.72,0.12,0.14,0.05,1.62,0.31
2022,0.02,8.58,0.19,0.21,0.05,1.42,0.31
2023,0.01,9.15,0.25,0.25,0.05,1.31,0.3
2024,0.01,9.78,0.19,0.16,0.04,1.21,0.27
