시도_코드,시도_명,동수,연면적
00,전국,7290246,4356518177.93276
11,서울특별시,557144,607147816.0469998
26,부산광역시,319801,260376081.23000076
27,대구광역시,263763,190638548.87400174
28,인천광역시,211869,239018258.45100066
29,광주광역시,128543,112129248.79800017
30,대전광역시,129699,115873122.08900009
31,울산광역시,133725,96724838.12200046
36,세종특별자치시,37249,37319172.68599992
41,경기도,1233328,1159354427.0530043
43,충청북도,407300,169375992.35200113
44,충청남도,556364,232787281.1279995
46,전라남도,670562,189737370.30000028
47,경상북도,842135,269959721.6450018
48,경상남도,739822,299583318.5549922
50,제주특별자치도,186903,57052381.655999824
51,강원특별자치도,383058,141497009.1070008
52,전북특별자치도,488981,177943589.8400014
