주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
01000,단독주택,4326700,4189356,96.83%
02000,공동주택,578273,541520,93.64%
03000,제1종근린생활시설,594056,98580,16.59%
04000,제2종근린생활시설,718151,499771,69.59%
05000,문화및집회시설,15969,11384,71.29%
06000,종교시설,40251,28507,70.82%
07000,판매시설,12500,7224,57.79%
08000,운수시설,3966,2674,67.42%
09000,의료시설,7592,6278,82.69%
10000,교육연구시설,88934,76632,86.17%
11000,노유자시설,48184,32812,68.10%
12000,수련시설,5174,3737,72.23%
13000,운동시설,14124,10700,75.76%
14000,업무시설,37108,23389,63.03%
15000,숙박시설,47324,41344,87.36%
16000,위락시설,5482,2346,42.79%
17000,공장,404164,371022,91.80%
18000,창고시설,409787,277607,67.74%
19000,위험물저장및처리시설,37497,31203,83.21%
20000,자동차관련시설,36908,29089,78.81%
21000,동물및식물관련시설,439989,408871,92.93%
22000,분뇨.쓰레기처리시설,12842,9477,73.80%
23000,교정및군사시설,20999,16717,79.61%
24000,방송통신시설,3343,1568,46.90%
25000,발전시설,4602,3893,84.59%
26000,묘지관련시설,1783,1344,75.38%
27000,관광휴게시설,9419,7420,78.78%
29000,장례시설,518,271,52.32%
30000,자원순환관련시설,13204,11358,86.02%
31000,야영장시설,7232,6320,87.39%
33000,"국방,군사시설",4993,3715,74.40%
