주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
01000,단독주택,4326700,4189356,0.9682566390089444
02000,공동주택,578273,541520,0.9364435137037351
03000,제1종근린생활시설,594056,98580,0.1659439514119881
04000,제2종근린생활시설,718151,499771,0.6959135335047921
05000,문화및집회시설,15969,11384,0.7128812073392198
06000,종교시설,40251,28507,0.7082308514074185
07000,판매시설,12500,7224,0.57792
08000,운수시설,3966,2674,0.6742309631870903
09000,의료시설,7592,6278,0.8269230769230769
10000,교육연구시설,88934,76632,0.8616727011041896
11000,노유자시설,48184,32812,0.6809729370745475
12000,수련시설,5174,3737,0.7222651720139157
13000,운동시설,14124,10700,0.7575757575757576
14000,업무시설,37108,23389,0.6302953541015415
15000,숙박시설,47324,41344,0.8736370551939819
16000,위락시설,5482,2346,0.4279460051076249
17000,공장,404164,371022,0.9179986342177928
18000,창고시설,409787,277607,0.6774421833781941
19000,위험물저장및처리시설,37497,31203,0.832146571725738
20000,자동차관련시설,36908,29089,0.7881489108052455
21000,동물및식물관련시설,439989,408871,0.9292755046148881
22000,분뇨.쓰레기처리시설,12842,9477,0.7379691636816695
23000,교정및군사시설,20999,16717,0.7960855278822802
24000,방송통신시설,3343,1568,0.4690397846245887
25000,발전시설,4602,3893,0.8459365493263798
26000,묘지관련시설,1783,1344,0.7537857543466069
27000,관광휴게시설,9419,7420,0.7877694022720034
29000,장례시설,518,271,0.5231660231660231
30000,자원순환관련시설,13204,11358,0.8601938806422297
31000,야영장시설,7232,6320,0.8738938053097345
33000,"국방,군사시설",4993,3715,0.7440416583216503
