주_용도_코드,주_용도_코드_명,avg_count_correct,avg_count_incorrect
01000,단독주택,115.62,10.47
02000,공동주택,22.75,4.06
03000,제1종근린생활시설,8.74,20.79
04000,제2종근린생활시설,30.10,9.40
05000,문화및집회시설,18.13,2.28
06000,종교시설,17.60,4.90
07000,판매시설,12.08,3.11
08000,운수시설,8.83,2.05
09000,의료시설,9.14,1.97
10000,교육연구시설,23.63,2.92
11000,노유자시설,21.52,6.42
12000,수련시설,21.35,3.73
13000,운동시설,17.12,2.43
14000,업무시설,11.03,2.97
15000,숙박시설,16.48,2.67
16000,위락시설,17.38,2.56
17000,공장,27.92,3.53
18000,창고시설,72.60,14.55
19000,위험물저장및처리시설,15.68,2.95
20000,자동차관련시설,21.79,3.39
21000,동물및식물관련시설,53.82,5.78
22000,분뇨.쓰레기처리시설,20.87,3.02
23000,교정및군사시설,103.19,7.55
24000,방송통신시설,11.53,3.51
25000,발전시설,31.91,3.17
26000,묘지관련시설,12.44,2.14
27000,관광휴게시설,19.48,2.57
29000,장례시설,15.06,2.55
30000,자원순환관련시설,39.99,3.13
31000,야영장시설,52.23,4.24
33000,"국방,군사시설",86.40,21.66
