기타_용도_분리,Total_Count
단독주택,2114386
주택,2067671
근린생활시설,513269
제2종근린생활시설,503960
공장,362449
제1종근린생활시설,290491
창고시설,280062
창고,271481
공동주택,262072
식물관련시설,186975
동,176826
다세대주택,165062
다가구주택,150242
아파트,133022
점포,114679
축사,99610
동물및식물관련시설,81209
및,78221
농가주택,77009
소매점,70024
2종근린생활시설,67210
교육연구시설,66577
제1,60691
사무실,57414
동물관련시설,45256
다가구용단독주택,45153
변소,44001
사무소,42004
업무시설,40066
숙박시설,38614
노유자시설,36097
일반음식점,35902
자동차관련시설,33446
화장실,33101
5가구,29790
3가구,29335
종교시설,28411
위험물저장및처리시설,28239
경비실,26526
교육연구및복지시설,26250
도시형생활주택,25435
다가구,25080
연립주택,24709
퇴비사,21629
제조업소,21532
4가구,20349
문화및집회시설,18655
2가구,17771
위락시설,17743
지하주차장,16676
외1,15351
운동시설,15002
1,14985
우사,13486
농업생산시설,13246
관리사,12991
근린공공시설,12910
교정및군사시설,12657
부속사,12518
부속,12256
다세대,12111
동식물관련시설,11714
부속창고,11473
판매시설,11246
경로당,11063
다가구용,10924
외,10699
주차장,10680
자원순환관련시설,10542
전기실,10507
기계실,10500
오피스텔,9909
교회,9894
7가구,9421
다중주택,9418
6가구,9385
마을회관,9186
동물,8965
제1종,8734
영업소,8531
관리사무소,8372
물치,8243
기숙사,8222
주거시설,8177
근린생활시설및주택,8065
농업용창고,7975
일반공장,7820
관광휴게시설,7717
단지형다세대,7694
의료시설,7639
1가구,7525
보일러실,7317
휴게음식점,7105
2,7036
돈사,7013
단독,6981
발전기실,6837
군사시설,6820
제2종,6742
여관,6675
주민공동시설,6618
대중음식점,6605
야영장시설,6524
펌프실,6463
식당,6447
버섯재배사,6316
차고,6064
농어가주택,6039
종교집회장,5795
8세대,5768
근린생활,5664
1종근린생활시설,5559
제2종근생,5534
8가구,5511
분뇨,5265
쓰레기처리시설,5231
단지형다세대주택,5216
근생,5208
계사,4922
국방군사시설,4916
어린이집,4904
주유소,4752
수리점,4738
노인정,4688
다방,4682
일용품소매점,4577
국방,4452
잠실,4448
영업,4423
mdf실,4420
공해공장,4416
저온저장고,4376
회관,4211
사찰,4076
주,3950
외2,3930
택,3897
학원,3811
농가창고,3807
발전시설,3804
저온창고,3765
의원,3730
방재실,3659
대피소,3641
분뇨및쓰레기처리시설,3616
제1종근생,3574
생활편익시설,3542
헛간,3532
제실,3508
처리시설,3432
3,3424
주택및근린생활시설,3412
2종,3380
농기계보관창고,3373
수련시설,3371
10가구,3342
관리실,3313
복지시설,3275
11가구,3255
9가구,3250
노인복지시설,3240
원룸형,3233
보육시설,3177
농가용주택,3174
주택및창고,3106
작업장,3050
작은도서관,2988
근린생활시설및,2984
정미소,2973
음식점,2941
지하실,2855
농촌주택,2837
저장고,2767
휴게실,2754
부대시설,2729
생,2717
정비공장,2620
영업용,2601
수위실,2588
사택,2550
10세대,2490
숙소,2478
건조실,2475
주택및점포,2457
근린시설,2409
농가,2396
12가구,2340
장,2286
유치원,2280
공,2262
세차장,2252
위험물저장,2236
농산물보관창고,2218
주택및,2201
근,2178
교육연구,2176
운수시설,2172
공중화장실,2166
상가,2140
정자,2137
5,2104
농업용,2092
판매및영업시설,2088
제조장,2063
일반창고,2053
지하,1973
초등학교,1944
건조장,1901
문고,1899
작물재배사,1850
연구소,1823
제조업,1810
학교,1793
독서실,1751
목욕탕,1738
농가용창고,1730
단독주택외1,1705
15가구,1700
여인숙,1682
골프연습장,1676
4,1666
관리사무실,1666
다가구용주택,1652
폐기물재활용시설,1614
공공업무시설,1603
공공용시설,1560
집회시설,1545
14가구,1532
단지형,1512
식물,1507
9세대,1499
고시원,1495
2종근생,1486
6세대,1482
관련시설,1475
13가구,1472
묘지관련시설,1472
3세대,1459
관사,1428
열교환실,1379
공장시설,1353
단독주택외,1348
7세대,1341
행랑,1339
점포및주택,1338
19가구,1323
국방ㆍ군사시설,1313
시장,1311
법당,1306
위험물저장소,1294
제2종근린생활시설외1,1280
농사용창고,1269
온실,1263
냉동창고,1259
시설,1248
병원,1246
방송통신시설,1245
농업인주택,1243
문화,1242
제각,1217
부대,1212
다용도실,1202
4세대,1202
12세대,1195
양수장,1195
18가구,1190
재활용품보관소,1181
생활숙박시설,1181
당구장,1179
계단실,1174
교사,1168
기계,1163
상점,1159
농산물창고,1158
관광숙박시설,1149
교실,1144
샤워실,1143
숙직실,1128
제2종근린생활시설외,1125
미용원,1108
근린생활시설및단독주택,1096
16가구,1071
2세대,1065
캐노피,1053
1용도,1053
전기,1051
노인회관,1036
농막,1034
유흥음식점,1031
생활시설,1024
일반숙박시설,1003
주거용,1001
공중변소,979
도정공장,975
전시장,974
물탱크실,970
주민운동시설,970
마을공동시설,961
5세대,952
모정,949
사회복지시설,947
종묘배양장,946
물치장,921
욕실,895
다가구주택및근린생활시설,893
근린생활시설및다가구주택,892
정수장,880
휴양콘도미니엄,877
변전소,850
우체국,848
단지형연립주택,847
관리소,844
휘트니스센터,841
농가용,834
일반업무시설,830
기타공장,830
농기계창고,828
문간,826
감귤저장고,809
6,809
복리시설,802
농산물집하장,801
대피실,796
7,796
공동,796
회의실,795
영유아보육시설,789
8,783
변전실,779
일용품점,769
부대복리시설,765
1세대,763
단독주택및창고,762
일반주택,759
대학교,751
체육관,749
부속건물,742
노래연습장,736
구매시설,732
교육원,721
실험실,718
유흥주점,715
경노당,714
휴게소,712
사당,710
금융업소,709
사무동,708
관람집회시설,704
제1종근린생활시설외,701
사료창고,700
폐수처리장,696
농산물,694
중학교,689
위험물,677
한의원,675
동물및,675
고등학교,673
11세대,672
근린,664
탁구장,656
재활용품창고,652
16세대,652
관리동,647
다중,646
게스트하우스,641
재실,640
농가주택및창고,634
농기계수리점,632
다가구단독주택,631
1종,628
보건진료소,627
축사및퇴비사,623
17가구,617
제1종근린생활시설외1,613
통로,613
성당,611
미용실,608
연립,608
주민회의실,605
요사체,602
전시시설,596
3가구용,594
농산물간이집하장,593
지식산업센터,593
통신실,585
폐기물처리시설,585
집하장,578
창고및변소,576
위험물취급소,573
새마을회관,572
위험물저장및,570
농업용주택,570
도서관,569
주민카페,568
고물상,562
파출소,561
저온저장창고,559
교육관,547
제2종근린생활,540
주거,539
공항시설,536
체력단련장,531
엠디에프실,521
가축용창고,518
마을공회당,518
제조시설,517
강당,512
15세대,511
부속화장실,510
기계전기실,506
연수원,503
콩나물재배사,503
5가구용,503
아동관련시설,503
단란주점,499
보관창고,497
동사무소,495
주택및창고시설,495
주택외,494
제2종근,489
14세대,488
장례식장,485
사설강습소,483
제연휀룸,478
냉장창고,477
저장,472
샤워장,470
탈의실,469
근린생활시설외,468
외3,466
제1종및제2종근린생활시설,466
농수산물보관창고,462
mdf,461
관광호텔,459
액화석유가스충전소,459
근생시설,454
재활용창고,452
교육시설,451
구판장,451
연구실,442
경비실1,437
기타,436
다목적실,434
멀티프로그램실,433
이용원,433
공동주택외1,432
교정,431
단독주택및,425
등,424
고,424
10,420
농기계,418
경비실2,417
통신시설,417
오리사,416
대문,416
마을공동작업소,416
창,415
단독주택및제2종근린생활시설,413
보이라실,413
사,411
및근린생활시설,408
관련,407
제2종근린생활시설및단독주택,407
위험물창고,406
1종근생,404
창고및주택,404
자재창고,404
광,401
체육도장,400
호스텔,399
창고및화장실,391
변소및창고,391
방앗간,391
피트니스센터,387
청소년수련시설,385
2가구용,383
4가구용,382
원룸형주택,381
유아원,380
협동주택,379
창고및,378
급식소,376
세탁소,374
간이음식점,373
위험물저장처리시설,372
감시실,372
가스저장소,371
다중생활시설,370
gx룸,370
피트니스,369
휘트니스,369
교육연구및,368
항만시설,368
연구시설,366
은행,366
외부계단,366
위험물저장시설,364
판매,364
감귤창고,360
분뇨쓰레기처리시설,360
경비초소,359
입주자회의실,358
톱밥우사,357
약국,356
보건소,356
매점,356
근생및주택,352
소방서,351
예식장,351
외1용도,351
지원시설,347
옥탑,346
19세대,346
축분장,343
교육연구시설및복지시설,342
종묘배양시설,342
외1건,341
도시형생활주택단지형다세대,340
제2종근린생활시설외2,339
근린생활시설외1,338
전신전화국,338
주택및부속사,338
복지회관,336
착유실,334
9,332
매매장,331
견사,330
1건,330
예능계학원,330
부동산중개업소,330
다가구주택및,329
단독주택및근린생활시설,329
일반유흥음식점,328
요양병원,328
단독주택외2,327
방,326
아동복지시설,325
택배보관실,325
단독주택외1건,324
주택및축사,323
비가림시설,321
공공시설,320
청소년수련원,320
주방,316
우분장,316
열교환기실,316
자동차,315
산신각,314
제2근린생활시설,313
골프장,313
생산시설,313
보육실,312
폐차장,311
부동산중개사무소,311
11,310
요사채,310
하수처리장,309
근린생할시설,308
양계장,307
양어장,305
자동차수리점,304
작업실,301
제1종근린생활,300
제조공장,299
다목적강당,298
도시형,297
및주택,297
축양장,295
위험물제조소,292
18세대,289
휀룸,288
게이트볼장,288
콘도미니엄,285
13세대,284
분뇨처리시설,281
2근린생활시설,280
경비동,278
및제2종근린생활시설,278
위험물처리시설,278
철도시설,277
하역장,273
사진관,273
구매,271
제1ㆍ2종근린생활시설,270
식품공장,269
제2종근린생활시설및주택,269
초소,268
공장및사무실,267
운전보안시설,266
저장소,265
마을공동창고,264
농산물보관,264
급식실,263
보건지소,263
우산각,262
목공소,261
톱밥발효우사,261
주택및부속,260
발전실,260
소매시장,260
실,259
통신기계실,259
케노피,259
이발소,258
곤충사육사,258
아파트형공장,258
근린생활시설및다세대주택,258
도시형생활주택단지형,257
검사장,256
대웅전,255
지하대피소,253
맘스스테이션,252
직원숙소,252
생활,250
지역아동센터,249
도시형생활주택원룸형,249
연결통로,248
물품제조공장,246
하수처리시설,246
자연권수련시설,245
수녀원,245
제1종근,244
영업시설,243
미장원,242
식물재배사,242
공동주택외,242
돈분장,241
관리,241
통신용시설,240
생활형숙박시설,239
주민공동이용시설,239
농기계공동보관창고,239
12,237
공동작업장,236
제2종근생시설,235
축사및창고,234
주택부속창고,234
유기장,233
대기실,233
옥외화장실,233
근생및다가구주택,232
중앙공급실,232
a,231
정비고,230
농업생산,230
무인택배실,227
부건,227
점포및,226
문화집회시설,226
물류창고,225
양계사,225
연쇄점,224
위험물판매취급소,223
p,222
곶감건조장,221
저장조,221
퇴비저장시설,220
운동장,220
위험물저장창고,219
무기고,219
잎담배공동건조장,218
농사용,218
목욕장,218
볏짚창고,217
취사장,216
방재센터,216
구내식당,215
오양,215
배수장,215
및단독주택,215
일반목욕장,213
아동시설,213
홀,213
농산물저장창고,212
교습소,211
생시설,211
지역자치센터,211
저수조,211
점포및사무실,210
퇴적장,210
간이주점,210
가축시설,210
자원순환시설,209
2용도,209
폐기물보관소,208
송풍실,207
사회적기업,207
다세대주택및근린생활시설,206
기도원,206
쓰레기,205
도시형공장,205
물탱크,205
택배보관소,204
발전소,203
제2종근린생할시설,203
주민복지관,202
2종근린생활,202
방재시설,202
종합병원,202
7가구용,202
물품,202
판매장,202
양곡창고,201
단독주택및창고시설,200
파고라,199
건가시설,198
도자기공장,197
세면장,197
종각,197
체력단련실,196
박물관,196
기타창고시설,195
축,195
기타시설,194
근리생활시설,194
업무,193
퇴비장,193
발전기,193
슈퍼마켓,193
부엌,193
하수종말처리장,191
단독주택외1용도,191
농산물저온창고,191
가스정압실,191
6가구용,190
농업인창고,190
차고지,190
경마장,190
부속시설,189
중간기계실,189
폐수처리시설,189
제1종근린생활시설및단독주택,188
제품창고,188
15,188
2호,187
비공해공장,186
콤프레샤실,186
축사및,186
석유판매소,185
체육시설,184
가스저장고,184
문화및,184
위험물옥내저장소,184
옥외계단,184
전문음식점,183
1호,183
도서실,183
소독실,182
자동차정비공장,182
재활용품보관창고,181
제재소,181
2종근,181
기타공공시설,180
기술계학원,180
볼링장,180
교육및연구시설,180
간이집하장,180
기원,180
노유자,179
북카페,179
폐기물처분시설,179
통합경비실,178
합숙소,178
키즈카페,178
근로자휴게실,177
16,177
휴게시설,176
주택및제2종근린생활시설,176
복도,175
도시형생활,175
생활관,174
공연장,174
교육,174
근린생활시설외1용도,173
맘스카페,173
철도역사,173
정각,173
근생및,172
축사시설,172
수영장,172
재배사,172
room,171
농산물저온저장고,171
국민주택,171
19,170
해태건조장,170
생활주택,170
실내골프연습장,170
가옥,170
저장시설,169
부주택,168
지열기계실,167
주택및소매점,167
펌프장,167
14,167
선별장,166
강의실,166
매표소,166
하수등처리시설,166
일반,165
근린생활및주택,165
농가주택및,164
11가구용,164
제2종근린생활시설및,164
2종근린생활시설및주택,164
제과점,164
계단,164
체험관,164
식품위생시설,164
찜질방,164
농산물가공시설,163
충전소,162
집배송시설,162
운전학원,161
농산물건조장,161
세대창고,161
변소및,160
마을모정,160
자동차영업소,159
제,159
농어촌주택,158
보이러실,158
분리수거장,158
제1종근린생활시설외2,157
생활편의시설,157
사제관,157
다목적교실,156
단독주택및제1종근린생활시설,156
용역원휴게실,155
동ㆍ식물관련시설,155
액화가스판매소,155
농산물가공공장,155
농산물가공처리시설,154
마을창고,154
업무시설외,154
부화장,153
예능계강습소,153
원룸형다세대,153
전시실,152
승마장,152
게임제공업소,152
야적장,152
시험실,152
방가로,150
농수산물창고,150
공동창고,150
별장,149
13,149
공공도서관,148
전화국,148
농가용주택및창고,148
소방차고,147
한우,147
11호,147
저장창고,146
마을공동작업장,146
동회관,146
정화조,146
t,145
부속차고,145
장례시설,144
치과의원,144
공장및창고,144
우수저류조,143
농업창고,143
테니스장,143
탁아소,143
단지형연립,143
다목적체육관,142
주택외1,142
싸이로,142
공관,141
가압장,141
교육장,141
농업용저온창고,141
야영장,140
지하저수조,140
진료소,140
축분건조장,139
향교,139
보관,139
학교시설,138
문화시설,138
원두막,137
shelter,137
관리사및창고,137
옥외승강기,137
숙사,137
소방펌프실,137
마을공동구판장,136
보일라실,136
탄약고,136
부속사무실,136
부설주차장,136
무,135
노인당,135
양수실,135
기타사무소,134
티하우스,134
실습실,134
인터넷컴퓨터게임시설제공업소,134
무인택배보관소,134
새마을창고,133
제2종근린생활시설및다가구주택,133
소매점및주택,132
배수펌프장,132
경로회관,132
위락,132
미술관,132
외부계단실,132
농산물판매장,130
2종근린생활시설및단독주택,130
수산물가공공장,129
버섯,129
1가구용,129
방갈로,129
교사동,129
다가구주택및제2종근린생활시설,128
창고및축사,128
14호,128
농어업용주택,128
면사무소,127
임대,127
도축장,127
직업훈련소,127
맘스테이션,127
수산물보관창고,127
축사및관리사,127
불당,127
숙박,126
가스배관시설,126
점포주택,125
제1종근린생활시설및주택,125
중앙감시실,125
동물원,125
apt,125
예배당,124
c,124
장옥,124
화장실및창고,124
농수산물,123
펌프,123
18,123
기념관,123
한우사,123
사회복지관,122
제1종근린생할시설,122
12호,122
곡물건조장,122
보일러,121
방아간,121
양조장,121
농어가,121
용역원실,121
가스저장실,120
무인전화국,120
농생,120
비각,120
마을경로당,119
계절창고,119
생및주택,119
감시제어반실,118
농기계수리센타,118
집회장,118
동물병원,117
기타판매시설,117
공동변소,117
후생복지시설,117
자전거보관소,117
어업용창고,116
폐기물처리장,116
농기계보관,116
게스트룸,116
육묘장,116
양어시설,115
제2종근린,115
황토방,115
세탁실,115
다가구주택3가구,115
카센타,115
사우나,115
농기구창고,114
8가구용,114
공가,114
기사대기실,114
식품가공공장,114
폐기물감량화시설,114
공작실,114
서원,114
교회사택,114
제당,114
1층,113
호텔,113
다가구주택5가구,113
부속주차장,113
20세대,112
점,112
전기자동차충전소,112
체험장,112
가공공장,112
인포넷센터,112
다함께돌봄센터,112
농수산물가공처리시설,111
이용소,111
관람장,111
건조기,111
요양원,111
외부승강기,110
2종근생시설,110
유스호스텔,110
공공청사,110
간이,110
제사,109
부속건,109
가스공급시설,109
17호,108
노래방,108
기계식주차장,108
주택점포,108
제1종근린,108
농,107
공회당,107
조정실,107
휴계실,107
농어가창고,107
창고및사무실,107
곤충사육장,107
농기계수리소,107
사무실및창고,106
쓰레기처리장,106
양생실,106
소방파출소,106
옥외계단실,106
수도원,105
b,105
17세대,105
우사및퇴비사,105
주차관리실,105
구매생활시설,105
복지관,104
17,104
마을공동농기계보관창고,104
농촌주택개량,104
저온,104
취수장,103
농기구수리점,103
창고및관리사,103
방과후교실,102
직원휴게실,102
배양장,102
3호,102
객실,102
배양실,102
다세대주택및,101
한방병원,101
집회실,101
농가주택및농가창고,101
농업시설,101
입주자집회소,101
농업용시설,101
재활용보관소,100
하수종말처리시설,100
클럽하우스,100
근린생활시설및다가구용단독주택,100
경비실3,100
단층주택,100
마사,100
기전실,100
욕탕,100
포,100
육계사,100
