기타_용도_분리,Total Count,기타_용도,주_용도_코드,주_용도_코드_명
단독주택,2114809,단독주택,01000,단독주택
주택,2069361,주택,01000,단독주택
근린생활시설,513863,근린생활시설,03000,제1종근린생활시설
제2종근린생활시설,504077,제2종근린생활시설,04000,제2종근린생활시설
공장,362588,공장,17000,공장
제1종근린생활시설,290552,제1종근린생활시설,03000,제1종근린생활시설
창고시설,280232,창고시설,18000,창고시설
창고,272363,창고,18000,창고시설
공동주택,262082,공동주택,02000,공동주택
식물관련시설,187056,동.식물관련시설,21000,동물및식물관련시설
동,176831,동.식물관련시설,21000,동물및식물관련시설
다세대주택,165076,다세대주택,02000,공동주택
다가구주택,150273,다가구주택,01000,단독주택
아파트,133031,공동주택(아파트),02000,공동주택
점포,114963,점포,03000,제1종근린생활시설
축사,99921,축사,21000,동물및식물관련시설
동물및식물관련시설,81241,동물및식물관련시설,21000,동물및식물관련시설
및,78442,동물 및 식물관련시설,21000,동물및식물관련시설
농가주택,78145,농가주택,01000,단독주택
소매점,70131,소매점,03000,제1종근린생활시설
2종근린생활시설,67233,"제1,2종근린생활시설",04000,제2종근린생활시설
교육연구시설,66596,교육연구시설,10000,교육연구시설
제1,60711,"제1,2종근린생활시설",04000,제2종근린생활시설
사무실,57564,사무실,04000,제2종근린생활시설
동물관련시설,45354,동물관련시설,21000,동물및식물관련시설
다가구용단독주택,45153,다가구용단독주택(5가구),01000,단독주택
변소,44164,변소,01000,단독주택
사무소,42023,사무소,04000,제2종근린생활시설
업무시설,40072,업무시설,14000,업무시설
숙박시설,38638,숙박시설,15000,숙박시설
