주_용도_코드,주_용도_코드_명,기타_용도_분리,Total Count
01000,단독주택,단독주택,2013416
01000,단독주택,주택,1905896
04000,제2종근린생활시설,제2종근린생활시설,410247
17000,공장,공장,353329
02000,공동주택,공동주택,257505
18000,창고시설,창고시설,250220
03000,제1종근린생활시설,제1종근린생활시설,229181
21000,동물및식물관련시설,식물관련시설,185441
21000,동물및식물관련시설,동,176271
03000,제1종근린생활시설,근린생활시설,161711
04000,제2종근린생활시설,근린생활시설,150633
01000,단독주택,근린생활시설,149834
02000,공동주택,다세대주택,148344
01000,단독주택,다가구주택,144072
02000,공동주택,아파트,132560
01000,단독주택,창고,123186
18000,창고시설,창고,97398
03000,제1종근린생활시설,주택,78241
21000,동물및식물관련시설,동물및식물관련시설,77285
21000,동물및식물관련시설,축사,76487
01000,단독주택,농가주택,75041
01000,단독주택,제2종근린생활시설,59280
10000,교육연구시설,교육연구시설,56563
03000,제1종근린생활시설,점포,55960
04000,제2종근린생활시설,단독주택,46781
01000,단독주택,점포,45954
01000,단독주택,다가구용단독주택,44640
04000,제2종근린생활시설,주택,44144
21000,동물및식물관련시설,동물관련시설,40744
03000,제1종근린생활시설,소매점,37864
01000,단독주택,변소,37452
01000,단독주택,제1종근린생활시설,37238
15000,숙박시설,숙박시설,36260
03000,제1종근린생활시설,단독주택,33428
01000,단독주택,및,31468
11000,노유자시설,노유자시설,29666
01000,단독주택,5가구,29599
20000,자동차관련시설,자동차관련시설,29418
04000,제2종근린생활시설,2종근린생활시설,28793
01000,단독주택,3가구,28533
04000,제2종근린생활시설,일반음식점,26610
04000,제2종근린생활시설,사무소,26395
14000,업무시설,업무시설,26316
19000,위험물저장및처리시설,위험물저장및처리시설,26215
02000,공동주택,도시형생활주택,24794
04000,제2종근린생활시설,제1,24723
01000,단독주택,다가구,24405
02000,공동주택,연립주택,23628
06000,종교시설,종교시설,22938
03000,제1종근린생활시설,2종근린생활시설,22659
01000,단독주택,소매점,22475
03000,제1종근린생활시설,제1,22249
02000,공동주택,경비실,21642
01000,단독주택,축사,21602
04000,제2종근린생활시설,제조업소,20351
01000,단독주택,4가구,20019
04000,제2종근린생활시설,사무실,18596
01000,단독주택,창고시설,18215
02000,공동주택,근린생활시설,17905
17000,공장,창고,17227
21000,동물및식물관련시설,퇴비사,16982
01000,단독주택,2가구,16371
17000,공장,사무실,15579
01000,단독주택,다세대주택,15034
02000,공동주택,지하주차장,14965
03000,제1종근린생활시설,제2종근린생활시설,14378
10000,교육연구시설,교육연구및복지시설,14316
01000,단독주택,화장실,13529
23000,교정및군사시설,교정및군사시설,12632
13000,운동시설,운동시설,11507
21000,동물및식물관련시설,동식물관련시설,11475
02000,공동주택,다세대,11353
04000,제2종근린생활시설,제1종근린생활시설,11261
18000,창고시설,주택,11151
05000,문화및집회시설,문화및집회시설,10886
01000,단독주택,다가구용,10824
03000,제1종근린생활시설,근린공공시설,10753
30000,자원순환관련시설,자원순환관련시설,10366
21000,동물및식물관련시설,우사,10359
21000,동물및식물관련시설,창고,10254
18000,창고시설,단독주택,10184
01000,단독주택,부속사,10056
01000,단독주택,부속,9906
04000,제2종근린생활시설,및,9783
21000,동물및식물관련시설,주택,9767
03000,제1종근린생활시설,사무실,9511
01000,단독주택,2종근린생활시설,9418
