주_용도_코드,주_용도_코드_명,Total Count
01000,단독주택,4344979
04000,제2종근린생활시설,719292
03000,제1종근린생활시설,595408
02000,공동주택,578529
21000,동물및식물관련시설,440924
18000,창고시설,413645
17000,공장,404723
10000,교육연구시설,89291
11000,노유자시설,48284
15000,숙박시설,47399
06000,종교시설,40446
19000,위험물저장및처리시설,37588
14000,업무시설,37176
20000,자동차관련시설,37005
,,29129
23000,교정및군사시설,21555
05000,문화및집회시설,16114
13000,운동시설,14176
30000,자원순환관련시설,13221
22000,분뇨.쓰레기처리시설,12880
07000,판매시설,12551
Z3000,근린생활시설,10771
27000,관광휴게시설,9466
09000,의료시설,7607
31000,야영장시설,7233
16000,위락시설,5494
12000,수련시설,5191
33000,"국방,군사시설",5060
25000,발전시설,4602
08000,운수시설,3974
Z8000,교육연구및복지시설,3964
24000,방송통신시설,3358
Z5000,문화및집회시설,2285
26000,묘지관련시설,1786
29000,장례시설,519
Z6000,판매및영업시설,477
Z9000,공공용시설,240
JY,,99
21101,축사,79
06107,제실,53
Z7001,축사,44
02003,다세대주택,39
03001,소매점,29
32000,교정시설,28
04010,학원,28
18999,기타창고시설,26
01001,단독주택,26
28000,가설건축물,22
15200,관광숙박시설,20
04402,사무소,20
04201,교회,14
04100,운동시설,13
04001,일반음식점,13
04999,기타제2종근린생활시설,11
04203,사찰,10
03009,양수장,9
01003,다가구주택,8
12100,생활권수련시설,8
07201,상점(소매점),8
14100,공공업무시설,6
15199,기타일반숙박시설,6
03101,동사무소,5
21100,축사,4
02007,기숙사,4
27005,휴게소,3
03100,공공시설,3
10004,연구소,3
04202,성당,3
03105,우체국,3
Z3020,체육도장,3
04200,종교집회장,3
07101,시장,3
02005,부대시설,3
01002,다중주택,3
03999,기타제1종근린생활시설,3
04005,제조업소,3
04006,수리점,2
03010,정수장,2
a6300,,2
03020,체육도장,2
14200,일반업무시설,2
b7990,,2
04105,당구장,2
Z3300,운동시설,2
30999,기타자원순환관련시설,2
16002,유흥주점,1
21999,기타동식물관련시설,1
03199,기타공공시설,1
17100,일반공장,1
03007,마을공동시설,1
02004,생활편익시설,1
19009,석유판매소,1
11101,유치원,1
04020,노래연습장,1
15102,여관,1
03002,휴게음식점,1
31002,화장실,1
06108,사당,1
04199,기타운동시설,1
31001,관리동,1
b8990,,1
04016,단란주점,1
21,,1
04002,휴게음식점,1
21001,도축장,1
17999,기타공장,1
04013,어린이집,1
20999,기타자동차관련시설,1
11202,사회복지시설,1
04400,사무소,1
000,,1
a0100,,1
06109,납골당(제2종근생 제외),1
03008,변전소,1
03103,파출소,1
06104,기도원,1
21005,온실,1
02002,연립주택,1
02001,아파트,1
15100,일반숙박시설,1
19001,주유소,1
1000,,1
07100,소매시장,1
15205,휴양콘도미니엄,1
