주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
01001,단독주택,6107851,5698090,93.29%
01003,다가구주택,1922416,1445495,75.19%
02001,아파트,2866578,2673013,93.25%
02002,연립주택,156682,111829,71.37%
02003,다세대주택,1260327,1074819,85.28%
02005,부대시설,234099,114137,48.76%
03001,소매점,902487,800650,88.72%
03002,휴게음식점,116871,100708,86.17%
03999,기타제1종근린생활시설,327167,165524,50.59%
04001,일반음식점,563247,495787,88.02%
04005,제조업소,196058,166074,84.71%
04402,사무소,599795,537567,89.63%
04999,기타제2종근린생활시설,220235,8822,4.01%
14202,오피스텔,213283,165329,77.52%
17100,일반공장,432017,297976,68.97%
17999,기타공장,284157,64747,22.79%
18001,창고,655182,567636,86.64%
18999,기타창고시설,135639,41216,30.39%
21101,축사,493734,445586,90.25%
21999,기타동식물관련시설,164800,21194,12.86%
