주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
01001,단독주택,6107851,5698090,0.9329124106007171
02001,아파트,2866578,2673013,0.9324752370247731
01003,다가구주택,1922416,1445495,0.7519158184284775
02003,다세대주택,1260327,1074819,0.852809627977501
03001,소매점,902487,800650,0.8871595934345868
18001,창고,655182,567636,0.8663791129792943
04402,사무소,599795,537567,0.8962512191665486
04001,일반음식점,563247,495787,0.8802301654513917
21101,축사,493734,445586,0.9024819032110407
17100,일반공장,432017,297976,0.6897321170231727
03999,기타제1종근린생활시설,327167,165524,0.5059312216696672
17999,기타공장,284157,64747,0.22785643147978055
02005,부대시설,234099,114137,0.48755868243777206
04999,기타제2종근린생활시설,220235,8822,0.04005721161486594
14202,오피스텔,213283,165329,0.7751625774206101
04005,제조업소,196058,166074,0.8470656642422141
21999,기타동식물관련시설,164800,21194,0.12860436893203883
02002,연립주택,156682,111829,0.7137322730115776
18999,기타창고시설,135639,41216,0.30386540744181245
03002,휴게음식점,116871,100708,0.8617022186855593
03005,의원,112237,92829,0.8270801963701809
04010,학원,107982,91285,0.8453723768776278
04499,기타사무소,90263,21491,0.23809312785969888
18101,일반창고,90025,39624,0.44014440433213
15102,여관,86848,71657,0.8250852063375093
14204,사무소,82760,30903,0.37340502658289026
01002,다중주택,80799,65047,0.8050470921669822
17301,물품 제조공장,77761,22639,0.29113565926364116
10101,초등학교,67422,37275,0.5528610839191955
11201,노인복지시설,65742,51386,0.7816312250920264
14299,기타일반업무시설,63533,8153,0.1283270111595549
20001,주차장,59379,45401,0.7645969113659712
06101,교회,58847,43524,0.7396128944551124
03021,마을회관,54146,39801,0.7350681490784177
04006,수리점,49327,41986,0.8511768402700347
03007,마을공동시설,43703,6198,0.14182092762510584
03011,대피소,41614,37429,0.8994328831643197
03199,기타공공시설,40719,3722,0.0914069598958717
10103,고등학교,38907,8146,0.2093710643328964
10999,기타교육연구시설,36271,8190,0.22580022607592842
10104,대학교,35263,14075,0.399143578254828
04002,휴게음식점,31593,95,0.0030069952204602284
02006,복리시설,30451,8224,0.2700732324061607
10003,학원,30231,16425,0.5433164632331051
19001,주유소,29697,21259,0.7158635552412702
10102,중학교,29458,4910,0.16667798221196278
23003,국방ㆍ군사시설,28995,22478,0.7752371098465253
15199,기타일반숙박시설,28608,2846,0.09948266219239374
04201,교회,28156,5267,0.18706492399488564
17200,유해공장,26917,7296,0.27105546680536463
15002,생활숙박시설,25827,20132,0.7794943276416154
04035,고시원,25586,20839,0.8144688501524271
09107,병원,22960,17699,0.7708623693379791
10199,기타학교,22903,1069,0.046675108064445706
20006,정비공장,21685,16037,0.7395434632234263
03012,공중화장실,21306,5957,0.27959260302262273
03027,미용원,21238,19524,0.9192956022224315
03003,이(미)용원,21012,12052,0.5735770036169807
02004,생활편익시설,21000,12396,0.5902857142857143
16002,유흥주점,20930,19111,0.9130912565695174
21006,작물재배사,19917,17858,0.8966209770547773
04020,노래연습장,19730,17739,0.8990876837303599
11103,어린이집,19702,15686,0.7961628261090244
04299,기타종교집회장,19494,7703,0.395147224787114
15201,관광호텔,18736,11012,0.5877455166524338
04203,사찰,18015,7572,0.42031640299750206
02007,기숙사,17866,13179,0.7376581215717004
06103,사찰,17660,6794,0.38471121177802947
04403,부동산중개업소,16429,14427,0.878142309331061
04014,독서실,16417,14442,0.8796978741548395
07999,기타판매시설,15116,2297,0.1519581899973538
04105,당구장,14234,13177,0.9257411830827595
19999,기타위험물저장처리시설,14177,1949,0.137476193835085
11102,영유아보육시설,14098,9559,0.678039438218187
13999,기타 운동시설,13835,1648,0.1191181785327069
07201,상점(소매점),13808,6962,0.5042004634994206
10301,연구소,13538,9462,0.6989215541438912
05999,기타문화및집회시설,13429,5195,0.3868493558716211
22001,분뇨처리시설,12996,998,0.0767928593413358
11202,사회복지시설,12826,6872,0.5357866832995478
20999,기타자동차관련시설,12619,1447,0.11466835723908392
03202,사무소,12567,21,0.0016710432084029601
21203,관리사,11861,9805,0.8266587977404941
18102,냉장창고,11837,3611,0.3050604038185351
04406,부동산중개사무소,11702,9912,0.8470346949239447
10107,유치원,11638,9119,0.7835538752362949
20002,세차장,11457,9300,0.8117308195862791
04401,금융업소,11298,6075,0.5377057886351566
04102,체력단련장,11241,8696,0.7735966551018593
03015,한의원,11163,10011,0.8968019349637194
20009,차고,11010,834,0.07574931880108991
06199,기타종교집회장,10982,812,0.07393917319249681
01000,단독주택,10765,0,0.0
14201,금융업소,10615,4662,0.4391898257183231
15205,휴양콘도미니엄,10518,8097,0.7698231602966343
03101,동사무소,10433,2519,0.24144541359148855
16999,기타위락시설,10071,622,0.06176149339688214
21003,버섯재배사,9876,219,0.022174969623329283
03025,목욕장,9802,3095,0.3157518873699245
15104,일반숙박시설,9433,5183,0.5494540443125199
11999,기타노유자시설,9382,562,0.05990193988488595
10004,연구소,9359,517,0.05524094454535741
30003,폐기물재활용시설,9262,7332,0.7916216799827251
21204,가축용창고,9259,4920,0.5313748784965979
10001,교육(연수)원,9079,2174,0.2394536843264677
04400,사무소,9044,0,0.0
21100,축사,9030,9,0.0009966777408637873
