주_용도_코드,주_용도_코드_명,avg_count_correct,avg_count_incorrect
01001,단독주택,216.30,31.33
01003,다가구주택,93.28,47.43
02001,아파트,399.61,9.10
02002,연립주택,55.39,8.87
02003,다세대주택,54.51,17.22
02005,부대시설,13.97,11.53
03001,소매점,63.01,6.97
03002,휴게음식점,87.04,5.90
03005,의원,45.11,3.83
03999,기타제1종근린생활시설,61.86,6.70
04001,일반음식점,88.79,5.70
04005,제조업소,41.19,4.70
04010,학원,81.43,5.05
04402,사무소,128.76,5.97
04999,기타제2종근린생활시설,3.29,9.58
14202,오피스텔,30.03,4.63
17100,일반공장,16.82,6.38
17999,기타공장,11.05,8.53
18001,창고,106.84,9.27
18999,기타창고시설,28.64,11.91
21101,축사,49.00,9.78
21999,기타동식물관련시설,14.18,15.02
