기타_용도_분리,Total_Count
주택,3857116
아파트,2583267
단독주택,2216874
창고,1067192
공동주택,1004938
다가구주택,982457
다세대주택,850374
제2종근린생활시설,803034
소매점,610883
계단실,592523
사무소,569179
공장,472824
근린생활시설,471947
일반음식점,467679
제1종근린생활시설,428710
축사,357585
사무실,343049
1가구,341186
2세대,338414
주차장,303932
2가구,277654
연면적제외,234116
점포,233361
화장실,233264
변소,185578
업무시설,176467
도시형생활주택,169266
오피스텔,161094
제조업소,157679
기계실,127109
농가주택,120914
학원,114959
퇴비사,114257
연립주택,111976
휴게음식점,110408
창고시설,105823
3가구,100978
의원,99797
교육연구시설,98979
3세대,98887
4가구,98496
부속사,96823
대피소,91260
보일러실,88874
1세대,78984
및,77152
숙박시설,74850
4세대,71083
여관,69224
물탱크실,68584
동,67679
우사,65836
식물관련시설,65564
다중주택,65516
일반공장,65400
2,61685
지하주차장,61081
교회,60491
전기실,60049
경비실,59492
기숙사,53299
5가구,52948
부속,50971
1,50342
다가구,49762
물치,48913
노유자시설,48429
단지형다세대,48155
다세대,47893
일반창고,41052
기타공장,40872
다가구용단독주택,40675
수리점,40033
식당,39694
부속창고,39481
제외,39481
옥탑,39272
6가구,39082
관리사,38854
복도,38120
대중음식점,37893
지하실,37879
농업생산시설,37392
다방,36658
종교시설,35736
펌프실,35239
마을회관,35111
elev,34375
자동차관련시설,34240
노인복지시설,32786
단지형다세대주택,32548
홀,32124
면적제외,31601
연면적,31489
농업용창고,30774
돈사,30728
미용원,30187
원룸형,30012
동물및식물관련시설,29737
차고,29116
제2종근생,28968
계단,28714
버섯재배사,28535
관리실,27906
경로당,27541
교육연구및복지시설,27459
다락,26707
의료시설,26547
판매시설,25070
교실,25059
발전기실,24944
고시원,24544
위락시설,24535
휴게실,22952
교사,22517
종교집회장,21623
계사,21524
2종근린생활시설,21497
어린이집,21207
노인정,20977
병원,20167
운동시설,20150
생활숙박시설,19989
문화및집회시설,19549
물품,19499
3,19493
숙소,19010
노래연습장,18798
관리사무소,18720
5세대,18615
제조공장,18458
부동산중개업소,18347
승강기,18299
작업장,18297
위험물저장및처리시설,17882
독서실,17865
저온저장고,17062
주유소,16685
연구소,16464
저온창고,16365
영업소,16074
지하,15744
생,15722
정비공장,15715
당구장,15684
유흥주점,15594
물탱크,15448
골프연습장,15367
제1종근생,15244
주,15214
국방ㆍ군사시설,15136
대피실,14968
계단탑,14915
주민공동시설,14807
음식점,14781
사찰,14655
4호,14636
유치원,14602
택,14388
6세대,14025
4,13985
부속건물,13958
건조실,13790
근생,13735
통로,13530
체력단련장,13426
헛간,13000
부대시설,12841
제1,12748
한의원,12719
e,12496
금융업소,12372
일용품소매점,12323
잠실,12280
영업,12258
기타창고시설,12082
기타사무소,11933
통신실,11791
부동산중개사무소,11616
동물관련시설,11599
대학교,11598
7가구,11556
농가창고,11536
사택,11421
세차장,11327
지하대피소,11322
초등학교,11181
mdf실,11144
2호,11093
생활편익시설,11036
방재실,10889
샤워실,10749
작물재배사,10704
관광호텔,10446
지하주차장연결통로,10356
농어가주택,10244
제실,10163
군사시설,9940
단지형,9848
근린생활,9846
인터넷컴퓨터게임시설제공업소,9816
물치장,9701
상점,9583
동식물관련시설,9578
기계,9557
수위실,9435
증축,9281
근,9240
일반숙박시설,9239
3호,9074
캐노피,8994
농기계보관창고,8808
교습소,8728
체육도장,8613
회의실,8525
폐기물재활용시설,8482
영유아보육시설,8382
지식산업센터,8350
5,8276
단란주점,8007
자원순환관련시설,7753
공해공장,7704
등,7653
공중화장실,7616
사회복지시설,7557
가축용창고,7485
주택및점포,7477
학교,7453
단독,7445
기존,7441
5호,7307
