기타_용도_분리,Total Count
주택,3857882
아파트,2584109
단독주택,2217159
창고,1067948
공동주택,1005215
다가구주택,982559
다세대주택,850405
제2종근린생활시설,803173
소매점,611069
계단실,592979
사무소,569395
공장,473228
근린생활시설,472425
일반음식점,467760
제1종근린생활시설,428788
축사,357873
사무실,344953
1가구,341216
2세대,338449
주차장,304072
2가구,277684
화장실,234731
연면적제외,234214
점포,233634
변소,185847
업무시설,176578
도시형생활주택,169266
오피스텔,161115
제조업소,157698
기계실,127458
농가주택,121780
학원,115001
퇴비사,114348
연립주택,112007
휴게음식점,110424
창고시설,105841
3가구,101006
의원,99827
교육연구시설,99073
3세대,98888
4가구,98515
부속사,97218
대피소,91314
보일러실,89298
1세대,78993
및,77580
숙박시설,74899
4세대,71092
여관,69244
물탱크실,68729
동,67684
우사,65905
식물관련시설,65580
다중주택,65517
일반공장,65441
2,61838
지하주차장,61631
교회,60520
전기실,60298
경비실,59875
기숙사,53414
5가구,52954
부속,51115
1,50478
다가구,49779
물치,48921
노유자시설,48452
단지형다세대,48155
다세대,47973
일반창고,41052
기타공장,40872
다가구용단독주택,40676
수리점,40040
식당,39849
제외,39510
부속창고,39495
옥탑,39462
6가구,39085
관리사,38913
복도,38159
농업생산시설,37968
지하실,37959
대중음식점,37928
다방,36688
종교시설,35791
펌프실,35396
마을회관,35124
elev,34385
자동차관련시설,34255
노인복지시설,32787
단지형다세대주택,32548
홀,32168
면적제외,31742
연면적,31514
돈사,30795
농업용창고,30779
미용원,30195
원룸형,30012
동물및식물관련시설,29771
차고,29146
제2종근생,28981
계단,28753
버섯재배사,28535
관리실,28177
경로당,27570
교육연구및복지시설,27485
다락,26715
의료시설,26571
판매시설,25153
교실,25096
발전기실,25012
위락시설,24564
고시원,24544
휴게실,23061
교사,22543
종교집회장,21645
계사,21550
노인정,21543
2종근린생활시설,21538
어린이집,21218
병원,20169
운동시설,20167
생활숙박시설,19989
3,19641
문화및집회시설,19559
물품,19499
숙소,19062
관리사무소,19004
노래연습장,18805
5세대,18624
제조공장,18459
작업장,18376
부동산중개업소,18353
승강기,18313
독서실,17909
위험물저장및처리시설,17894
저온저장고,17075
주유소,16706
연구소,16467
저온창고,16386
영업소,16134
생,15762
지하,15758
정비공장,15716
당구장,15691
유흥주점,15601
물탱크,15487
골프연습장,15378
주,15371
제1종근생,15245
국방ㆍ군사시설,15136
대피실,14973
계단탑,14929
주민공동시설,14886
음식점,14828
사찰,14669
4호,14636
유치원,14611
택,14545
4,14092
부속건물,14032
6세대,14025
건조실,13797
근생,13750
통로,13536
체력단련장,13428
헛간,13036
부대시설,12850
제1,12778
한의원,12723
e,12502
금융업소,12376
일용품소매점,12327
잠실,12291
영업,12261
기타창고시설,12082
기타사무소,11934
통신실,11796
동물관련시설,11631
부동산중개사무소,11616
대학교,11598
농가창고,11586
7가구,11556
사택,11450
지하대피소,11340
세차장,11339
초등학교,11182
mdf실,11163
생활편익시설,11119
2호,11093
방재실,10897
샤워실,10822
작물재배사,10707
관광호텔,10446
농어가주택,10370
지하주차장연결통로,10357
제실,10216
군사시설,9942
물치장,9905
근린생활,9887
단지형,9848
인터넷컴퓨터게임시설제공업소,9817
상점,9588
동식물관련시설,9582
기계,9582
수위실,9536
증축,9396
근,9266
일반숙박시설,9239
3호,9075
캐노피,9040
농기계보관창고,8828
교습소,8737
체육도장,8615
회의실,8577
폐기물재활용시설,8484
5,8452
영유아보육시설,8382
지식산업센터,8350
단란주점,8012
자원순환관련시설,7754
공해공장,7733
등,7665
기존,7640
공중화장실,7630
사회복지시설,7559
가축용창고,7485
주택및점포,7479
학교,7468
단독,7453
객실,7332
관리사무실,7322
5호,7307
v,7306
엘리베이터,7273
목욕탕,7245
휴양콘도미니엄,7237
국방,7232
바닥면적제외,7180
제조업,7122
다용도실,7077
관사,7064
근린공공시설,7026
냉동창고,6963
회관,6810
교육원,6747
elev기계실,6746
건조장,6718
탁구장,6692
저장고,6610
강의실,6539
1호,6369
예능계학원,6369
농산물보관창고,6227
다중생활시설,6223
근린시설,6191
행랑,6182
탈의실,6156
농업용,6150
정자,6110
요양병원,6095
숙직실,6088
실험실,6023
사진관,5972
도서관,5958
호스텔,5917
6,5850
기계식주차장,5719
전시장,5719
연구실,5717
영업용,5678
기타,5654
세탁소,5648
고등학교,5641
로비,5629
체육관,5622
미용실,5606
강당,5500
이용원,5492
제조장,5470
치과의원,5417
1종근린생활시설,5407
공중변소,5362
보육시설,5352
피로티,5330
8세대,5288
공공업무시설,5286
7세대,5284
성당,5246
게임제공업소,5226
6호,5221
연면적에서제외,5145
제2종,5126
다가구용,5080
농가용주택,5054
중학교,5014
아,5001
트,4995
상가,4995
파,4990
온실,4977
주방,4951
일반목욕장,4948
점포및주택,4924
교정및군사시설,4897
복지시설,4887
관광숙박시설,4887
공조실,4842
정미소,4801
냉장창고,4781
전기,4760
농업인주택,4757
단지형연립주택,4721
마을공동시설,4709
저수조,4700
위험물저장소,4660
물품제조공장,4632
다가구용주택,4631
여인숙,4559
법당,4558
휀룸,4542
농가용창고,4540
마을공회당,4536
장,4507
실,4459
관광휴게시설,4336
변전소,4264
관련시설,4212
제2종근,4179
제과점,4169
고,4161
창,4083
코아,4053
일용품점,4051
지하계단실,4049
열교환실,4043
식물,4036
연수원,4027
사료창고,3998
변전실,3963
용도미기재,3951
승강기홀,3947
교육관,3906
면적산정제외,3898
제조시설,3898
종합병원,3880
기원,3869
농막,3845
연면적에서,3811
야영장시설,3811
elev실,3799
공용,3792
사,3733
부주택,3726
공,3712
작은도서관,3654
아동관련시설,3639
관리동,3621
농산물창고,3598
시장,3579
욕실,3555
다목적실,3540
유흥음식점,3525
보이라실,3524
급식소,3523
주택1가구,3513
도시형생활주택단지형,3508
농촌주택,3482
필로티,3447
8,3427
원룸형주택,3394
7,3387
기계전기실,3382
피로티주차장,3366
우체국,3343
모정,3303
지역아동센터,3302
12,3284
약국,3278
지원시설,3278
이,3225
ev,3225
제1종,3224
일반업무시설,3170
휴게소,3167
요사체,3158
판매및영업시설,3151
옥내주차장,3125
목욕장,3114
농가,3057
기타동식물관련시설,3027
농사용창고,3017
연결통로,2997
농생,2996
10,2995
부속용도,2985
다목적강당,2940
엘리베이터실,2911
생활시설,2904
교육연구,2900
방,2894
노인회관,2893
직원숙소,2847
농가용,2842
양수장,2842
광,2814
호텔,2807
9,2798
예능계강습소,2791
저장,2778
보건소,2767
은행,2766
고물상,2765
문고,2758
미,2732
8가구,2730
근린,2722
마을공동작업소,2700
실습실,2697
elev홀,2694
층수,2678
체력단련실,2667
슈퍼마켓,2665
복층,2665
급식실,2659
창고및변소,2655
폐수처리장,2651
외부계단,2647
용원,2646
10세대,2639
농기계수리점,2639
7호,2600
pit,2573
액화석유가스충전소,2567
청소년게임제공업소,2555
매매장,2549
계단실통로,2531
부설주차장,2531
쓰레기처리시설,2530
분뇨,2527
도시형,2526
축분장,2507
주택2가구,2505
주거시설,2500
주택및창고,2492
필로티주차장,2486
기술계학원,2485
동사무소,2476
업,2471
농기계창고,2460
분뇨및쓰레기처리시설,2453
주차통로,2450
면적,2443
처리시설,2443
자동차영업소,2440
소방서,2439
장례식장,2436
부대,2427
아동복지시설,2424
도시형생활주택원룸형,2414
전실,2406
v실,2405
파출소,2394
수련시설,2358
정비시설,2356
사설강습소,2354
원,2354
주거용,2354
주택및,2347
착유실,2344
교육,2341
방풍실,2340
아파트형공장,2325
3층,2325
2종,2315
관리소,2295
승강기탑,2291
톱밥우사,2278
기타일반업무시설,2273
구내식당,2271
4실,2269
폐기물처리시설,2268
예식장,2248
옥탑층,2231
8호,2222
11,2217
위험물제조소,2217
카리프트,2213
제1종근,2208
곤충사육사,2195
제각,2189
ev실,2183
9세대,2173
농업시설,2169
자재창고,2161
직업훈련소,2159
창고및화장실,2151
보건진료소,2129
보이러실,2128
위험물취급소,2120
의약품판매소,2116
일반게임제공업의시설,2116
매점,2109
멀티미디어문화컨텐츠설비제공업소,2106
중앙공급실,2101
요사채,2089
생활관,2086
샤워장,2085
교사동,2079
발전소,2078
구매시설,2071
기타제2종근린생활시설,2062
하역장,2055
승강기실,2048
사무동,2019
대문,2017
곶감건조장,2017
사당,2007
자동차수리점,2005
연수,1997
운수시설,1990
방송통신시설,1977
바닥면적,1976
경노당,1967
세탁실,1953
주차관리실,1953
동물병원,1953
인터넷컴퓨터게임시설제공업,1950
한방병원,1936
피트통로,1933
기타종교집회장,1930
문간,1923
공연장,1919
종묘배양장,1917
a,1916
4층,1904
준공,1903
5실,1900
시설,1900
발전시설,1890
코어,1889
연립,1886
입주자회의실,1885
주차타워,1873
대피소및보일러실,1866
농산물집하장,1858
비가림시설,1855
도정공장,1839
주거,1831
전시실,1831
정수장,1830
엘리베이터기계실,1825
태권도장,1822
볏짚창고,1816
예배실,1809
다중,1802
저온저장창고,1795
무,1794
견사,1791
제2종근린생활,1787
대기실,1783
감시제어반실,1775
도시형생활주택단지형다세대,1771
설비실,1769
종묘배양시설,1767
옥외계단,1724
말소,1724
제연휀룸,1723
16,1723
특별교실,1720
지하저수조,1717
오리사,1716
중간기계실,1712
영화관,1700
수녀원,1699
20,1691
인터넷컴퓨터게임시설제공업의시설,1688
부건,1680
기타제1종근린생활시설,1678
유아원,1675
자치단체청사,1671
소,1670
주민운동시설,1658
25,1658
케노피,1654
도서실,1652
작업통로,1647
검사장,1645
mdf,1639
집회시설,1638
작업실,1634
체험관,1630
가족호텔,1623
수영장,1621
기타제2종근생,1616
근린생활시설및주택,1613
양계사,1601
복리시설,1600
주점영업,1600
우분장,1600
위험물저장,1598
다가구주택1가구,1595
요양원,1593
2종근생,1589
현관,1585
도시형생활,1585
정화조,1584
엘리베이터홀,1576
승강기기계실,1565
00,1563
고가수조,1553
h,1550
기타공공시설,1550
양계장,1544
하수등처리시설,1543
재실,1534
재활용품보관소,1527
부속화장실,1526
청소년수련원,1519
기타전시장,1517
창고및,1513
공동취사장,1511
기타일반숙박시설,1506
24,1505
a동,1502
v기계실,1492
연면적포함,1475
집하장,1461
소매시장,1459
표구점,1452
o,1450
15,1444
농업용주택,1432
생활주택,1432
변소및창고,1426
다가구주택2가구,1426
다목적교실,1425
14,1424
ev홀,1421
게이트볼장,1417
통신용시설,1414
의료기기판매소,1410
주택및근린생활시설,1407
복지회관,1406
보일러,1404
안마시술소,1402
3실,1399
연결복도,1395
박물관,1389
폐차장,1387
전신전화국,1382
퇴비저장시설,1377
v홀,1377
콩나물재배사,1373
대피실및보일러실,1373
문화,1372
28,1370
12세대,1365
hall,1363
축사및퇴비사,1363
지역자치센터,1362
50,1348
가공공장,1347
경비초소,1340
서점,1334
보건지소,1322
36,1310
찜질방,1309
96,1309
30,1305
13,1305
2층,1302
18,1302
발전실,1301
22,1300
설비배관공간,1299
신축,1298
기타제1종근생,1293
생산시설,1293
간이음식점,1289
방앗간,1288
b동,1286
p,1284
b,1274
40,1273
보육실,1267
산신각,1266
축분건조장,1264
동물,1260
미장원,1259
교육실,1258
6실,1255
점포및사무실,1252
32,1250
사제관,1249
액화가스판매소,1246
일반유흥음식점,1246
노인요양시설,1243
0,1242
안내실,1242
48,1240
60,1236
아동시설,1236
92,1234
19,1230
미술관,1222
퇴적장,1222
농산물,1220
볼링장,1220
17,1217
21,1215
세미나실,1212
보관창고,1210
가스저장소,1198
농업용저온창고,1196
기전실,1195
가축시설,1194
23,1185
1종,1184
75,1176
점포및,1171
기도원,1170
room,1165
국가기관청사,1162
대피호,1160
26,1157
엠디에프실,1151
관리,1143
감귤저장고,1141
다세대주택2세대,1139
대웅전,1137
골프장,1134
기타공공업무시설,1117
저장소,1115
44,1115
29,1112
연면적산정제외,1110
의약품도매점,1106
52,1101
88,1100
10호,1099
27,1099
64,1097
56,1090
선별장,1088
80,1086
휘트니스센터,1084
lift,1082
계단실및물탱크실,1081
물류창고,1077
놀이형시설,1075
2실,1073
11세대,1072
기타숙박시설,1071
발전기,1068
폐기물처리시설및폐기물감량화시설,1067
초소,1062
33,1061
기타제1종근생활시설,1055
2가구용,1054
68,1052
일반교실,1050
95,1049
연구시설,1049
콤프레샤실,1049
한우,1048
c,1045
저장조,1044
서고,1032
정비고,1031
단지형연립,1029
기타교육연구시설,1028
노래방,1026
유스호스텔,1026
부속시설,1024
분뇨처리시설,1021
항만시설,1021
apt,1020
승강장,1017
콘도미니엄,1017
72,1013
헬스크럽,1012
9호,1012
기도실,1011
집회장,1010
폐기물처분시설,1007
농산시설,1007
주차시설,1004
세면장,1002
84,1000
보일라실,999
원장에,997
미기재,997
층별용도,997
주민회의실,996
옥탑계단실,996
76,994
새마을회관,991
42,990
부속실,990
침술원,984
축,983
취사장,982
감시실,981
