주_용도_코드,주_용도_코드_명,주택,아파트,단독주택,창고,공동주택,다가구주택,다세대주택,제2종근린생활시설,소매점,계단실
01000,단독주택,5598,0,787,1240,0,111,8,2,4,13
01001,단독주택,3304862,14,1850839,248983,90,16355,1283,718,3795,23325
01002,다중주택,2868,55,24639,154,49,32,16,15,34,9101
01003,다가구주택,443844,300,335083,13907,883,964535,28517,377,888,154179
02000,공동주택,286,376,9,3,324,0,112,1,1,16
02001,아파트,3278,2578652,7,1549,802980,0,617,301,339,51640
02002,연립주택,10103,965,68,749,26645,18,743,82,162,7325
02003,다세대주택,57668,162,719,1836,164745,322,818436,301,408,154203
02004,생활편익시설,22,296,1,49,240,2,2,1415,179,236
02005,부대시설,77,1079,14,2636,3294,12,203,68,42,25295
02006,복리시설,0,112,0,129,661,0,6,102,45,444
02007,기숙사,46,66,1,141,3592,0,1,8,10,354
03001,소매점,13134,83,824,8933,66,236,91,4408,590818,9704
03002,휴게음식점,95,0,49,662,0,17,1,522,515,1157
03005,의원,194,9,25,369,8,6,8,1663,437,3210
03007,마을공동시설,18,0,24,22775,0,0,0,5,16,141
03021,마을회관,29,0,7,1765,5,2,2,18,17,252
03199,기타공공시설,44,2,20,745,1,8,0,80,62,547
03202,사무소,9,0,9,154,2,5,2,551,34,375
03999,기타제1종근린생활시설,3904,60,266,4891,112,67,50,3114,3119,14249
04001,일반음식점,877,10,392,5989,16,126,16,201845,2511,7051
04002,휴게음식점,37,0,5,225,1,3,0,11272,187,551
04003,기원,7,0,1,8,0,0,0,1317,7,69
04005,제조업소,106,0,41,3877,1,4,2,85352,150,724
04006,수리점,44,0,12,1451,0,4,0,18379,69,198
04007,게임제공업소,4,0,1,15,0,0,0,2276,23,18
04008,사진관,8,1,1,32,0,0,0,3270,13,120
04010,학원,124,21,48,170,23,18,3,47014,118,1121
04012,동물병원,1,0,0,16,0,0,0,1040,11,26
04014,독서실,38,1,4,42,3,2,2,4776,4,449
04016,단란주점,3,0,3,26,0,0,0,2138,5,34
04018,자동차영업소,0,0,2,17,0,0,0,1439,9,80
04020,노래연습장,19,0,7,69,0,3,0,6695,27,149
04025,인터넷컴퓨터게임시설제공업소,0,0,0,5,0,0,0,1037,2,7
04030,의약품판매소,0,0,0,11,0,0,0,1214,2,11
04035,고시원,0,0,5,33,15,1,1,13587,7,2554
04037,인터넷컴퓨터게임시설제공업의시설,0,0,0,1,0,0,0,1753,3,13
04040,교습소,3,0,0,11,0,1,0,5471,5,38
04043,다중생활시설,3,0,13,14,0,8,0,4778,5,717
04044,인터넷컴퓨터게임시설제공업소,5,0,1,6,0,0,0,5106,4,35
