주_용도_코드,주_용도_코드_명,Total Count
01001,단독주택,6118573
02001,아파트,2877653
01003,다가구주택,1923975
02003,다세대주택,1261033
03001,소매점,903494
18001,창고,655616
04402,사무소,600119
04001,일반음식점,563381
21101,축사,493776
17100,일반공장,432244
03999,기타제1종근린생활시설,330306
17999,기타공장,284297
02005,부대시설,234621
04999,기타제2종근린생활시설,221739
14202,오피스텔,213301
04005,제조업소,196149
21999,기타동식물관련시설,164832
02002,연립주택,157461
18999,기타창고시설,135702
03002,휴게음식점,116898
03005,의원,112282
04010,학원,108025
04499,기타사무소,90362
18101,일반창고,90040
15102,여관,87025
14204,사무소,82929
01002,다중주택,80811
17301,물품 제조공장,77765
10101,초등학교,67484
11201,노인복지시설,65775
14299,기타일반업무시설,63723
20001,주차장,59401
06101,교회,58931
03021,마을회관,54167
04006,수리점,49329
03007,마을공동시설,43710
03011,대피소,41623
03199,기타공공시설,40845
10103,고등학교,38953
10999,기타교육연구시설,36370
10104,대학교,35347
04002,휴게음식점,31598
02006,복리시설,30457
10003,학원,30258
19001,주유소,29711
10102,중학교,29482
23003,국방ㆍ군사시설,29010
15199,기타일반숙박시설,28669
04201,교회,28198
17200,유해공장,26926
15002,생활숙박시설,25828
04035,고시원,25587
,,25487
09107,병원,22981
10199,기타학교,22950
20006,정비공장,21687
03012,공중화장실,21311
03027,미용원,21239
02004,생활편익시설,21030
03003,이(미)용원,21015
16002,유흥주점,20939
21006,작물재배사,19917
04020,노래연습장,19734
11103,어린이집,19709
04299,기타종교집회장,19532
15201,관광호텔,18743
04203,사찰,18035
02007,기숙사,17892
06103,사찰,17666
04403,부동산중개업소,16432
04014,독서실,16421
07999,기타판매시설,15162
04105,당구장,14239
Z3999,기타근린생활시설,14222
19999,기타위험물저장처리시설,14195
11102,영유아보육시설,14110
07201,상점(소매점),13853
13999,기타 운동시설,13837
10301,연구소,13539
05999,기타문화및집회시설,13449
22001,분뇨처리시설,12998
11202,사회복지시설,12836
20999,기타자동차관련시설,12666
03202,사무소,12569
21203,관리사,11863
18102,냉장창고,11839
04406,부동산중개사무소,11703
10107,유치원,11640
20002,세차장,11460
04401,금융업소,11310
04102,체력단련장,11243
03015,한의원,11167
20009,차고,11011
06199,기타종교집회장,10998
01000,단독주택,10770
14201,금융업소,10633
15205,휴양콘도미니엄,10520
03101,동사무소,10444
16999,기타위락시설,10099
21003,버섯재배사,9877
03025,목욕장,9814
15104,일반숙박시설,9433
11999,기타노유자시설,9392
10004,연구소,9365
30003,폐기물재활용시설,9267
21204,가축용창고,9259
10001,교육(연수)원,9084
04400,사무소,9061
21100,축사,9046
03020,체육도장,8775
27999,기타관광휴게시설,8573
05499,기타전시장,8510
03004,일반목욕장,8338
04107,골프연습장,8333
13011,골프연습장,8081
22999,기타분뇨쓰레기처리시설,7976
06102,성당,7974
14199,기타공공업무시설,7747
04044,인터넷컴퓨터게임시설제공업소,7669
09101,종합병원,7563
07101,시장,7332
04043,다중생활시설,7277
06107,제실,7204
04040,교습소,7171
09109,요양병원,6947
03108,보건소,6723
33001,"국방,군사시설",6602
21299,기타가축시설,6466
04007,게임제공업소,6359
11199,기타아동관련시설,6271
06999,기타종교시설,6251
10005,도서관,6211
14102,자치단체청사,6210
04008,사진관,6059
15206,호스텔,6053
10201,교육원,5898
04016,단란주점,5788
15299,기타관광숙박시설,5659
03010,정수장,5655
03022,마을공동작업소,5591
19002,액화석유가스충전소,5363
03008,변전소,5214
17302,물품 가공공장,5213
19004,위험물저장소,5174
Z8999,기타교육연구및복지시설,5062
01004,공관,5042
03019,탁구장,4825
03014,치과의원,4758
15103,여인숙,4751
09999,기타의료시설,4617
03009,양수장,4510
18103,냉동창고,4494
03105,우체국,4309
21004,종묘배양시설,4265
15101,호텔,4216
24004,통신용시설,4183
04207,제실,4131
03104,소방서,4110
27005,휴게소,4108
Z3000,근린생활시설,4104
03013,세탁소,4095
03103,파출소,4025
21005,온실,4014
04199,기타운동시설,3835
25001,발전소,3757
10202,연수원,3748
04003,기원,3739
25999,기타발전시설,3739
13006,체력단련장,3717
30001,하수등처리시설,3706
11101,유치원,3659
14101,국가기관청사,3571
21102,양잠,3542
10105,전문대학,3531
20005,매매장,3364
13001,체육관,3335
03024,지역아동센터,3293
11104,아동복지시설,3265
04037,인터넷컴퓨터게임시설제공업의시설,3063
15999,기타숙박시설,3025
07212,일반게임제공업의시설,2956
22005,폐기물처리시설및폐기물감량화시설,2928
21104,양어시설,2927
31002,화장실,2901
07104,대형점,2881
04018,자동차영업소,2818
10106,대학,2817
05201,예식장,2736
31999,기타야영장시설,2696
03029,제과점,2610
10002,직업훈련소,2566
22002,폐기물처리시설,2549
05401,박물관,2544
08007,철도시설,2534
18000,창고시설,2520
23999,기타교정및군사시설,2483
07199,기타소매시장,2476
30999,기타자원순환관련시설,2430
16001,단란주점,2388
03112,지역자치센터,2341
03106,전신전화국,2333
19006,액화가스판매소,2305
09104,한방병원,2260
04025,인터넷컴퓨터게임시설제공업소,2218
03023,마을공동구판장,2078
04000,제2종근린생활시설,2064
23002,군사시설,2063
15204,가족호텔,2051
21108,곤충사육,2024
20003,폐차장,2024
05199,기타공연장,1985
04030,의약품판매소,1984
31001,관리동,1950
12101,청소년수련원(관),1947
04045,청소년게임제공업소,1913
09199,기타병원,1908
20004,검사장,1901
04012,동물병원,1859
05408,체험관,1832
21106,양돈,1825
30004,폐기물처분시설,1823
13110,골프장,1749
30002,고물상,1748
22004,고물상,1718
08004,공항시설,1710
04017,의약품도매점,1699
29001,장례식장,1684
b0299,,1683
19003,위험물제조소,1676
05402,미술관,1674
19009,석유판매소,1669
16007,주점영업,1645
03026,이용원,1601
07102,백화점,1598
04019,안마시술소,1533
20007,운전학원,1521
Z6999,기타판매및영업시설,1501
22003,폐기물재활용시설,1462
21107,양계,1453
24002,전신전화국,1450
07103,대형백화점,1437
04009,표구점,1408
14200,일반업무시설,1397
05202,회의장,1396
06100,종교집회장,1385
04031,의료기기판매소,1334
04200,종교집회장,1332
05108,영화관,1323
06106,수녀원,1305
03006,체육장,1300
05101,극장(영화관),1265
02000,공동주택,1261
Z3001,소매점,1259
12203,청소년수련원,1249
08999,기타운수시설,1242
Z3602,사무소,1238
13002,운동장시설,1229
26999,기타묘지관련시설,1210
18004,집배송시설,1185
04202,성당,1181
15100,일반숙박시설,1172
09100,병원,1169
05299,기타집회장,1167
05404,기념관,1166
03109,공공도서관,1163
12999,기타수련시설,1162
04399,기타공연장,1161
16006,무도장(학원),1151
06108,사당,1118
06105,수도원,1117
04021,세탁소,1093
11203,근로복지시설,1081
12299,기타자연권수련시설,1079
04004,서점(1종근.생미해당),1078
18002,하역장,1068
04022,멀티미디어문화컨텐츠설비제공업소,1057
06104,기도원,1043
17308,물품 인쇄공장,1016
27007,공원에 부수되는 시설,1004
12201,청소년수련원(관),1002
17000,공장,1001
19010,위험물취급소,999
04038,청소년게임제공업의시설,976
08008,항만시설,971
08001,여객자동차터미널,960
10401,학원,958
07001,도매시장,940
13008,볼링장,932
24999,기타방송통신시설,930
12103,청소년문화의집,906
13107,승마장,901
Z3600,사무소,901
03016,침술원,891
20010,주기장,844
08003,철도역사,835
15003,다중생활시설,830
13003,탁구장,830
04208,사당,827
05399,기타관람장,823
21103,양봉,821
09103,치과병원,809
24003,촬영소,805
09105,정신병원,797
21001,도축장,795
03018,조산소,767
04109,놀이형시설,763
09301,장례식장,763
Z8000,교육연구및복지시설,756
03035,통신용 시설,742
03000,제1종근린생활시설,707
13104,수영장,698
19016,고압가스충전소,697
03100,공공시설,696
05301,경마장,695
13004,체육도장,694
27006,관광지시설,689
Z3699,기타사무소,685
04024,직업훈련소,681
08005,항만시설(터미널),680
12001,유스호스텔,676
09102,산부인과병원,669
04013,어린이집,669
03299,기타사무소,650
19005,액화가스취급소,647
04041,동물미용실,646
03032,산후조리원,645
09108,요양소,640
Z7001,축사,637
04405,출판사,633
04103,에어로빅장,631
19011,액화석유가스판매소,622
21105,부화장,616
07105,쇼핑센터,615
27008,유원지에 부수되는 시설,613
12105,청소년수련관,593
12102,유스호스텔,590
26004,봉안당,588
12202,청소년야영장,569
31003,샤워실,568
03031,안마원,566
10100,학교,562
13005,테니스장,547
16004,유기장,546
27004,관망탑,537
04204,기도원,537
03203,부동산중개사무소,537
30005,폐기물감량화시설,535
05304,운동장,529
04046,복합유통게임제공업소,519
19008,고압가스충전저장소,518
13009,당구장,491
27009,관광지에 부수되는 시설,484
24001,방송국,482
16009,유원시설업의시설,468
31005,취사시설,465
15207,소형호텔,461
07202,게임제공업소,456
10399,기타연구소,448
07211,인터넷컴퓨터게임시설제공업의시설,444
12199,기타생활권수련시설,443
13014,놀이형시설,438
15001,고시원,433
21000,동물및식물관련시설,427
05501,동물원,425
17304,물품 도장공장,424
15000,숙박시설,421
19017,고압가스판매소,413
03107,방송국,411
05303,체육관,395
13102,구기장,387
03102,경찰서,384
02101,일반기숙사,376
05502,식물원,375
04026,청소년게임제공업소,375
26003,묘지에 부수되는 건축물,370
05403,과학관,369
24101,방송국,367
04101,테니스장,363
16000,위락시설,361
13012,물놀이형시설,360
12399,기타야영장시설,353
03028,조산원,352
10299,기타교육원,350
03300,전기자동차충전소,347
04036,제과점,347
19013,유독물보관소,332
Z3100,공공시설,331
14000,업무시설,318
19012,액화석유가스저장소,314
26002,납골당,313
04104,볼링장,310
18003,물류터미널,309
19018,고압가스저장소,309
05407,문화관,308
05599,"기타동,식물원",301
07203,멀티미디어문화컨텐츠설비제공업소,297
21207,실험동물사육시설,295
21002,도계장,292
03113,지구대,285
03030,수퍼마켓,282
11100,아동관련시설,281
13109,궁도장,279
03034,도시가스배관시설,277
04304,비디오물감상실,271
24005,데이터센터,271
10302,시험소,267
21205,가축시장,249
05400,전시장,246
07100,소매시장,246
05405,산업전시장,244
04100,운동시설,242
07301,농수산물도매시장,241
04106,실내낚시터,230
20008,정비학원,224
23203,교도소,219
14203,신문사,217
04404,결혼상담소,213
21201,가축용운동시설,211
19014,유독물저장소,208
Z3400,종교집회장,205
04039,복합유통게임제공업의시설,204
Z3012,공중화장실,182
17309,물품 수리공장,179
19019,도료류판매소,177
05102,음악당,175
21200,가축시설,175
17306,물품 재봉공장,175
07302,농수산물공판장,166
Z9999,기타공공용시설,164
12302,화장실,162
19007,유독물보관저장시설,159
Z3205,제조업소,157
05302,자동차경기장,148
Z3201,일반음식점,148
02102,임대형기숙사,148
19020,도시가스공급시설,145
10000,교육연구시설,141
Z3199,기타공공시설,140
