주_용도_코드,주_용도_코드_명,기타_용도,Count
01001,단독주택,주택,3192276
02001,아파트,아파트,1749831
01001,단독주택,단독주택,1568151
02001,아파트,공동주택(아파트),703628
18001,창고,창고,462082
02003,다세대주택,다세대주택,319380
03001,소매점,소매점,283287
04001,일반음식점,일반음식점,221384
21101,축사,축사,219071
01003,다가구주택,주택,211141
01003,다가구주택,다가구주택,203381
04402,사무소,제2종근린생활시설(사무소),201476
04402,사무소,사무소,194720
03001,소매점,제1종근린생활시설(소매점),190472
01001,단독주택,창고,182852
02003,다세대주택,다세대주택(2세대),176864
04001,일반음식점,제2종근린생활시설(일반음식점),172643
17100,일반공장,공장,151485
03001,소매점,점포,151353
03999,기타제1종근린생활시설,근린생활시설,145800
01003,다가구주택,다가구주택(1가구),137020
01001,단독주택,변소,118406
01003,다가구주택,다가구주택(2가구),118249
01001,단독주택,농가주택,114026
01003,다가구주택,단독주택(다가구주택),98522
04402,사무소,사무실,81901
01003,다가구주택,주택(1가구),81416
01001,단독주택,단독주택(단독주택),80157
04005,제조업소,제2종근린생활시설(제조업소),73132
01001,단독주택,부속사,72147
