주_용도_코드,주_용도_코드_명,기타_용도,Count
01000,단독주택,단독주택,1722659
01000,단독주택,주택,1592478
04000,제2종근린생활시설,제2종근린생활시설,327131
17000,공장,공장,304174
18000,창고시설,창고시설,230618
03000,제1종근린생활시설,제1종근린생활시설,185441
21000,동물및식물관련시설,동.식물관련시설,158005
02000,공동주택,공동주택,112514
02000,공동주택,다세대주택,86467
03000,제1종근린생활시설,근린생활시설,81974
04000,제2종근린생활시설,근린생활시설,80714
18000,창고시설,창고,74362
02000,공동주택,공동주택(아파트),72079
21000,동물및식물관련시설,동물및식물관련시설,71888
01000,단독주택,농가주택,63702
02000,공동주택,아파트,52504
21000,동물및식물관련시설,축사,46340
10000,교육연구시설,교육연구시설,44507
01000,단독주택,다가구주택,42196
01000,단독주택,"주택, 창고",40403
21000,동물및식물관련시설,동물관련시설,35544
03000,제1종근린생활시설,점포,26767
03000,제1종근린생활시설,"근린생활시설, 주택",25912
01000,단독주택,"근린생활시설, 주택",25833
02000,공동주택,공동주택(다세대주택),25447
01000,단독주택,단독주택(다가구주택),24853
15000,숙박시설,숙박시설,24087
01000,단독주택,"주택, 근린생활시설",24063
,,,23366
01000,단독주택,"주택, 점포",22333
