주_용도_코드,주_용도_코드_명,기타_용도
01000,단독주택,"단독주택(다가구주택),제1종근린생활시설((소매점)"
01000,단독주택,다가구주택(14가구)
01000,단독주택,"공동주택(다세대), 근린생활시설"
01000,단독주택,단독주택(5가구)
01000,단독주택,"법당, 주택"
01000,단독주택,근린생활시설및 주택
01000,단독주택,단독주택(다가구주택 및 근생)
01000,단독주택,"근린생활시설, 공동주택(다세대주택)"
01000,단독주택,"주택, 변소및창고"
01000,단독주택,주택.근린생활시설
03000,제1종근린생활시설,"의료시설(소매점, 제1종근린생활시설)"
03000,제1종근린생활시설,"제1종근린생활시설(소매점),창고시설"
03000,제1종근린생활시설,"제1종,제2종 근린생활시설, 위락시설"
03000,제1종근린생활시설,마을회관
03000,제1종근린생활시설,"점포, 주택"
03000,제1종근린생활시설,수위실
03000,제1종근린생활시설,"근린생활시설, 교육연구시설, 단독주택"
03000,제1종근린생활시설,펌프장
03000,제1종근린생활시설,"제1종근린생활시설(휴게음식점, 마을공동시설)"
03000,제1종근린생활시설,탁구장
04000,제2종근린생활시설,"위락시설 및 제1,2종근린생활시설"
04000,제2종근린생활시설,"제1,2종근린생활시설, 주택"
04000,제2종근린생활시설,"2종근린생활시설, 주택"
04000,제2종근린생활시설,"공장, 사무실"
04000,제2종근린생활시설,휴게음식점
04000,제2종근린생활시설,교회당
04000,제2종근린생활시설,"근린생활시설, 다가구주택(4가구)"
04000,제2종근린생활시설,"근린생활시설, 교육연구시설"
04000,제2종근린생활시설,제2종근린생활시설(단독주택)
04000,제2종근린생활시설,숙소
